,WEEKIND,YEARIND
31,31,16
32,32,16
33,33,16
34,34,16
35,35,16
36,36,16
37,37,16
38,38,16
39,39,16
40,40,16
41,41,16
42,42,16
43,43,16
44,44,16
45,45,16
46,46,16
47,47,16
48,48,16
49,49,16
50,50,16
51,51,16
52,52,16
53,1,17
54,2,17
55,3,17
56,4,17
57,5,17
58,6,17
59,7,17
60,8,17
61,9,17
62,10,17
63,11,17
64,12,17
65,13,17
66,14,17
67,15,17
68,16,17
69,17,17
70,18,17
71,19,17
72,20,17
73,21,17
74,22,17
75,23,17
76,24,17
77,25,17
78,26,17
79,27,17
80,28,17
81,29,17
82,30,17
83,31,17
