,DEAL_CODE,ACCOUNT_CODE,COUPON_CODE,SPENT,WEEKIND,YEARIND
44052,20,10869649,2158,240,35,16
99236,20,10869649,2158,180,8,17
99237,20,10869649,2158,120,30,17
273123,20,10869649,2158,120,11,17
285544,20,10869649,2158,120,32,16
285545,20,10869649,2158,240,47,16
285546,20,10869649,2158,120,21,17
285547,20,10869649,2158,360,26,17
302337,20,10869649,2158,240,25,17
524307,20,10869649,2158,90,7,17
544472,20,10869649,2158,306,37,16
544473,20,10869649,2158,120,16,17
544474,20,10869649,2158,120,31,17
698876,20,10869649,2158,120,34,16
698877,20,10869649,2158,120,27,17
702069,20,10869649,2158,120,44,16
702070,20,10869649,2158,120,9,17
895654,20,10869649,2158,120,39,16
895655,20,10869649,2158,120,17,17
994590,20,10869649,2158,90,6,17
994591,20,10869649,2158,300,14,17
994592,20,10869649,2158,90,22,17
1099649,20,10869649,2158,600,41,16
1342917,20,10869649,2158,102,36,16
1342918,20,10869649,2158,120,23,17
1342919,20,10869649,2158,120,28,17
1708134,20,10869649,2158,300,4,17
1740103,20,10869649,2158,120,33,16
1740104,20,10869649,2158,120,38,16
1876815,20,10869649,2158,120,2,17
1912863,20,10869649,2158,120,43,16
1912864,20,10869649,2158,120,24,17
1,20,200,100,240,35,16
2,20,200,100,180,8,17
3,20,200,100,120,30,17
4,20,200,100,120,11,17
5,20,200,100,120,32,16
6,20,200,100,240,47,16
7,20,200,100,120,21,17
8,20,200,100,360,26,17
9,20,200,100,240,25,17
10,20,200,100,90,7,17
11,20,200,100,306,37,16
12,20,200,100,120,16,17
13,20,200,100,120,31,17
14,20,200,100,120,34,16
15,20,200,100,120,27,17
16,20,200,100,120,44,16
17,20,200,100,120,9,17
18,20,200,100,120,39,16
19,20,200,100,120,17,17
20,20,200,100,90,6,17
21,20,200,100,300,14,17
22,20,200,100,90,22,17
23,20,200,100,600,41,16
24,20,200,100,102,36,16
25,20,200,100,120,23,17
26,20,200,100,120,28,17
27,20,200,100,300,4,17
28,20,200,100,120,33,16
29,20,200,100,120,38,16
30,20,200,100,120,2,17
31,20,200,100,120,43,16
32,20,200,100,120,24,17
