,level_0,index,DEAL_CODE,ACCOUNT_CODE,COUPON_CODE,SPENT_x,WEEKIND,YEARIND,SPENT_y,SPENT2,DATE
0,4,4.0,20.0,10869649.0,2158.0,120.0,32,16,0,120.0,1632
1,27,27.0,20.0,10869649.0,2158.0,120.0,33,16,0,120.0,1633
2,13,13.0,20.0,10869649.0,2158.0,120.0,34,16,0,120.0,1634
3,0,0.0,20.0,10869649.0,2158.0,240.0,35,16,0,240.0,1635
4,23,23.0,20.0,10869649.0,2158.0,102.0,36,16,0,102.0,1636
5,10,10.0,20.0,10869649.0,2158.0,306.0,37,16,0,306.0,1637
6,28,28.0,20.0,10869649.0,2158.0,120.0,38,16,0,120.0,1638
7,17,17.0,20.0,10869649.0,2158.0,120.0,39,16,0,120.0,1639
8,33,17.0,20.0,10869649.0,2158.0,120.0,40,16,0,0.0,1640
9,22,22.0,20.0,10869649.0,2158.0,600.0,41,16,0,600.0,1641
10,34,22.0,20.0,10869649.0,2158.0,600.0,42,16,0,0.0,1642
11,30,30.0,20.0,10869649.0,2158.0,120.0,43,16,0,120.0,1643
12,15,15.0,20.0,10869649.0,2158.0,120.0,44,16,0,120.0,1644
13,35,15.0,20.0,10869649.0,2158.0,120.0,45,16,0,0.0,1645
14,36,15.0,20.0,10869649.0,2158.0,120.0,46,16,0,0.0,1646
15,5,5.0,20.0,10869649.0,2158.0,240.0,47,16,0,240.0,1647
16,37,5.0,20.0,10869649.0,2158.0,240.0,48,16,0,0.0,1648
17,38,5.0,20.0,10869649.0,2158.0,240.0,49,16,0,0.0,1649
18,39,5.0,20.0,10869649.0,2158.0,240.0,50,16,0,0.0,1650
19,40,5.0,20.0,10869649.0,2158.0,240.0,51,16,0,0.0,1651
20,41,5.0,20.0,10869649.0,2158.0,240.0,52,16,0,0.0,1652
21,42,5.0,20.0,10869649.0,2158.0,240.0,1,17,0,0.0,1701
22,29,29.0,20.0,10869649.0,2158.0,120.0,2,17,0,120.0,1702
23,43,29.0,20.0,10869649.0,2158.0,120.0,3,17,0,0.0,1703
24,26,26.0,20.0,10869649.0,2158.0,300.0,4,17,0,300.0,1704
25,44,26.0,20.0,10869649.0,2158.0,300.0,5,17,0,0.0,1705
26,19,19.0,20.0,10869649.0,2158.0,90.0,6,17,0,90.0,1706
27,9,9.0,20.0,10869649.0,2158.0,90.0,7,17,0,90.0,1707
28,1,1.0,20.0,10869649.0,2158.0,180.0,8,17,0,180.0,1708
29,16,16.0,20.0,10869649.0,2158.0,120.0,9,17,0,120.0,1709
30,45,16.0,20.0,10869649.0,2158.0,120.0,10,17,0,0.0,1710
31,3,3.0,20.0,10869649.0,2158.0,120.0,11,17,0,120.0,1711
32,46,3.0,20.0,10869649.0,2158.0,120.0,12,17,0,0.0,1712
33,47,3.0,20.0,10869649.0,2158.0,120.0,13,17,0,0.0,1713
34,20,20.0,20.0,10869649.0,2158.0,300.0,14,17,0,300.0,1714
35,48,20.0,20.0,10869649.0,2158.0,300.0,15,17,0,0.0,1715
36,11,11.0,20.0,10869649.0,2158.0,120.0,16,17,0,120.0,1716
37,18,18.0,20.0,10869649.0,2158.0,120.0,17,17,0,120.0,1717
38,49,18.0,20.0,10869649.0,2158.0,120.0,18,17,0,0.0,1718
39,50,18.0,20.0,10869649.0,2158.0,120.0,19,17,0,0.0,1719
40,51,18.0,20.0,10869649.0,2158.0,120.0,20,17,0,0.0,1720
41,6,6.0,20.0,10869649.0,2158.0,120.0,21,17,0,120.0,1721
42,21,21.0,20.0,10869649.0,2158.0,90.0,22,17,0,90.0,1722
43,24,24.0,20.0,10869649.0,2158.0,120.0,23,17,0,120.0,1723
44,31,31.0,20.0,10869649.0,2158.0,120.0,24,17,0,120.0,1724
45,8,8.0,20.0,10869649.0,2158.0,240.0,25,17,0,240.0,1725
46,7,7.0,20.0,10869649.0,2158.0,360.0,26,17,0,360.0,1726
47,14,14.0,20.0,10869649.0,2158.0,120.0,27,17,0,120.0,1727
48,25,25.0,20.0,10869649.0,2158.0,120.0,28,17,0,120.0,1728
49,52,25.0,20.0,10869649.0,2158.0,120.0,29,17,0,0.0,1729
50,2,2.0,20.0,10869649.0,2158.0,120.0,30,17,0,120.0,1730
51,12,12.0,20.0,10869649.0,2158.0,120.0,31,17,0,120.0,1731
